Nom établissement,Adresse,Numéro de téléphone,Type d'établissement,Priorité,Propriétaire,SIREN
Au Pain Naturel,44 ROUTE DE GENAS 69003 LYON,,Boulangerie,3,Lina,808623524
Festin,83 RUE ETIENNE RICHERAND 69003 LYON,,Boulangerie,3,Lina,933583551
Brahim El Ghoul,6 RUE PAUL BERT 69003 LYON,,Boulangerie,3,Lina,328748843
My Cupcake,10 COURS LAFAYETTE 69003 LYON,,Boulangerie,3,Lina,798045456
Patisserie El Ghoul,6 RUE PAUL BERT 69003 LYON,,Boulangerie,3,Lina,888439981
Elsie Patisseries,33 RUE DU LAC 69003 LYON,,Boulangerie,3,Lina,890901184
La Romainville,71 COURS DE LA LIBERTE 69003 LYON,,Boulangerie,3,Lina,820577104
Jeff De Bruges-Martial,CC LA PART DIEU 17 RUE DE LA PART-DIEU 69003 LYON,,Boulangerie,3,Lina,449127885
La Fabrique Cookies,CENTRE COMMERCIAL WESTFIELD LA PART DI 17 RUE DOCTEUR BOUCHUT 69003 LYON,,Boulangerie,3,Lina,981637895
Au Quignon De Pain,26 ROUTE DE GENAS 69003 LYON,,Boulangerie,3,Lina,395262397
Enfant Gateau,HALLES DE LYON 102 COURS LAFAYETTE 69003 LYON,,Boulangerie,3,Lina,479465585
La Cure Gourmande,CENTRE COMMERCIAL LYON PART DIEU 17 RUE DOCTEUR BOUCHUT 69003 LYON,,Boulangerie,3,Lina,907837306
Scdf Mouelhi Abbas,8 PLACE BIR-HAKEIM 69003 LYON,,Boulangerie,3,Lina,394149348
Delices De Montchat,79 COURS DOCTEUR LONG 69003 LYON,,Boulangerie,3,Lina,502033194
Maison Victoire,LES HALLES DE LYON 102 COURS LAFAYETTE 69003 LYON,,Boulangerie,3,Lina,514991363
Lpdg Halles,HALLE DE LYON 102 COURS LAFAYETTE 69003 LYON,,Boulangerie,3,Lina,379484025
Augustin,3 PLACE DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,752959890
Fulguropain,51 RUE DELEUVRE 69004 LYON,,Boulangerie,3,Lina,817759558
Pain Des Paumes,42 RUE JACQUARD 69004 LYON,,Boulangerie,3,Lina,817759558
Le Fournil De L Opera,159 BOULEVARD DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,393534672
L'Epi De Ble,45 RUE PERNON 69004 LYON,,Boulangerie,3,Lina,813225547
Fournil & Fourneaux,56 GRANDE RUE DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,882324569
Enfant Gouter,15 PLACE DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,911779494
Maison Jordan,37 COURS D'HERBOUVILLE 69004 LYON,,Boulangerie,3,Lina,913243978
Les Artistes Croix-Rousse,12 RUE DU MAIL 69004 LYON,,Boulangerie,3,Lina,794616920
Jadis,10 RUE PAILLERON 69004 LYON,,Boulangerie,3,Lina,977457068
Painleve,55 RUE JACQUES-LOUIS HENON 69004 LYON,,Boulangerie,3,Lina,993113364
Maison Jolivet Pere Et Filles,1 RUE DU MAIL 69004 LYON,,Boulangerie,3,Lina,498147404
Jean Sebastien Berger,44 RUE JACQUES-LOUIS HENON 69004 LYON,,Boulangerie,3,Lina,483636387
Le Banquet,1 RUE D'ISLY 69004 LYON,,Boulangerie,3,Lina,432471449
Boulangerie Patisserie Des Canuts,18 RUE CLAUDE-JOSEPH BONNET 69004 LYON,,Boulangerie,3,Lina,510403447
